Word,Count
*,420
the,157
,148
this,135
in,118
To,114
choose,114
template,114
change,114
and,73
@author,61
editor,58
\file,\,57
Properties,57
Headers,57
Templates,57
\header,\,57
License,57
license,57
|,57
Tools,57
Project,57
open,57
sarkhanrasullu,41
code,36
=,31
is,25
add,23
TODO,23
your,23
here:,23
handling,23
method,22
of,22
{,22
},21
form,21
Goshgar,17
NOI18N,16
\defaultstate="\collapsed"\\,15
<editor-fold,15
not,15
-,14
End,13
</editor-fold>//GEN-END:initComponents,12
modify//GEN-BEGIN:variables,12
variables,12
declaration,12
Variables,12
\desc="\Generated\,12
\Code"\>//GEN-BEGIN:initComponents\,12
do,12
declaration//GEN-END:variables,12
if,11
from,11
to,11
WARNING:,10
always,10
This,10
The,10
content,10
Do,10
new,10
Editor,10
within,10
NOT,10
modify,10
called,10
constructor,10
initialize,10
Form,10
by,10
regenerated,10
feel,9
</editor-fold>,9
Creates,8
+,8
int,7
Nimbus,6
void,6
public,6
look,6
table,4
!=,4
row,4
String,4
for,4
/,4
http://download.oracle.com/javase/tutorial/uiswing/lookandfeel/plaf.html,3
display,3
SUArrayList<SUTableColumn>,3
(optional),3
@param,3
burani,3
default,3
dolduracaq,3
GEN-LAST:event_btnCancelActionPerformed,3
For,3
SUTableRow,3
Create,3
(introduced,3
Tebriz,3
Set,3
command,3
SE,3
stay,3
details,3
Java,3
args,3
private,3
\"\);\,3
see,3
\"\>\,3
setting,3
with,3
\desc="\\,3
null),3
Look,3
return,3
line,3
arguments,3
6),3
\available,\,3
GEN-FIRST:event_btnCancelActionPerformed,3
If,3
GEN-LAST:event_btnSaveActionPerformed,2
NOTNULL,2
tables,2
white,2
\columns,\,2
>,2
NULL,2
@Override,2
table),2
Penthos,2
table.getName());,2
getTable();,2
Type,2
Load,2
i,2
Data,2
Panel,2
boolean,2
0),2
GEN-FIRST:event_btnSaveActionPerformed,2
SUArrayList<SUTableRow>,2
column,2
ResultSet,2
==,2
SUTable,2
table.getSelectedTableRow();,2
//,2
word,2
2,2
rs,2
columns,2
row);,2
colIndex);,2
\LogUtil.log("\cell\,2
return;,1
});,1
sb,1
GEN-LAST:event_btnAddActionPerformed,1
GEN-LAST:event_tblIndexHierarchyChanged,1
SQL,1
GEN-FIRST:event_cmbDatabaseItemStateChanged,1
empty,1
\index="\+tbl.getSelectionModel().getMinSelectionIndex());\,1
columnCount;,1
saveEditingRow();,1
GEN-LAST:event_btnSaveChangesForTableActionPerformed,1
GEN-LAST:event_jMenu1MenuDragMouseEntered,1
GEN-LAST:event_btnSaveMouseClicked,1
\LogUtil.log("\model\,1
GEN-FIRST:event_btnRunMouseExited,1
GEN-LAST:event_btnexplainMouseExited,1
isCellEditable(int,1
GEN-LAST:event_btnNewConnectionMouseExited,1
GEN-LAST:event_btnUsersMouseEntered,1
onDoubleClick(),1
\super(rows,columns);\,1
GEN-LAST:event_jPanel1formHierarchyChanged,1
GEN-FIRST:event_charsetCmboItemStateChanged,1
\sb.append(columnName).append("\\,1
bu,1
GEN-LAST:event_formWindowClosing,1
GEN-FIRST:event_txtPortKeyPressed,1
end,1
GEN-FIRST:event_jPanel1formKeyPressed,1
\rs.getString(4),\,1
GEN-FIRST:event_btnNewQueryMouseEntered,1
null));,1
GEN-LAST:event_tblQueryResultFocusLost,1
GEN-LAST:event_btnTableMouseExited,1
\index="\+leadIndex);\,1
GEN-FIRST:event_btnRunMouseEntered,1
information,1
after,1
GEN-FIRST:event_btnFunctionsMouseEntered,1
GEN-FIRST:event_submitCreateDBActionPerformed,1
GEN-FIRST:event_jMenuItem10ActionPerformed,1
discardChanges();,1
@Data,1
GEN-FIRST:event_btnReportMouseExited,1
(tables.isEmpty()),1
GEN-LAST:event_cmbConnectionItemStateChanged,1
\sb.append("\(\,1
GEN-FIRST:event_btnTableMouseEntered,1
GEN-LAST:event_btnFunctionsMouseEntered,1
this.columns.addAll(columns);,1
GEN-LAST:event_btnQueryMouseEntered,1
RafaelAhmedov,1
GEN-LAST:event_btnExportResultMouseEntered,1
GEN-FIRST:event_btnAutomationMouseExited,1
lsm.getMinSelectionIndex();,1
remove,1
GEN-LAST:event_btnexplainMouseEntered,1
GEN-FIRST:event_btnOkActionPerformed,1
CreatDB,1
GEN-FIRST:event_cmbConnectionItemStateChanged,1
MainFrameUtility.centralizeJFrame(this);,1
MySqlConnection,1
GEN-LAST:event_btnUsersActionPerformed,1
GEN-LAST:event_btnNewQueryMouseExited,1
Dimension,1
column);,1
null;,1
minIndex,1
GEN-FIRST:event_jRadioButton2ActionPerformed,1
GEN-LAST:event_jMenuItem6ActionPerformed,1
expand();,1
GEN-FIRST:event_btnBackupMouseEntered,1
dim,1
down,1
column.setPrimaryKey(pkColumns.getByName(column.getName()),1
GEN-FIRST:event_txtQueryKeyPressed,1
rs.getMetaData();,1
GEN-FIRST:event_btnBeautfySQLMouseExited,1
i++),1
GEN-FIRST:event_btnQueryActionPerformed,1
addEl);,1
\)"\);\,1
GEN-LAST:event_jPanel1formKeyPressed,1
GEN-FIRST:event_btnViewActionPerformed,1
GEN-LAST:event_txtQueryKeyTyped,1
GEN-FIRST:event_jTabbedPane1StateChanged,1
column),1
GEN-FIRST:event_tblFieldPaneHierarchyChanged,1
StringBuilder(1024);,1
connection),1
cell);,1
GEN-FIRST:event_comboboxConnectionSourceItemStateChanged,1
.collect(Collectors.toCollection(SUArrayList::new));,1
table.getDatabase().getConnection().getParentConnection();,1
columns.add(new,1
begin,1
(SUTableColumn,1
rows),1
GEN-FIRST:event_btnQueryMouseExited,1
GEN-FIRST:event_jMenuItem11ActionPerformed,1
GEN-LAST:event_tabbedPaneStateChanged,1
Triggers,1
viewTable(TableTreeNode,1
ForeignKeys,1
GEN-FIRST:event_btnAutomationMouseEntered,1
be,1
rowIndex);,1
GEN-LAST:event_btnQueryBuilderMouseExited,1
1),1
PaneDataTransferFrame,1
\fillTree(node.getSubList(),\,1
GEN-FIRST:event_btnUsersMouseExited,1
SetQueryLocation,1
fireTableDataChanged();,1
getAllPrimaryKey(table);,1
GEN-LAST:event_defaultComboItemStateChanged,1
databaseMetaData,1
GEN-LAST:event_cbConnectionsActionPerformed,1
LogUtil.log(sb.toString());,1
GEN-FIRST:event_btnModelMouseExited,1
axi,1
GEN-LAST:event_comboboxConnectionSourceItemStateChanged,1
MainFrameUtility.getSelectedConnectionFromList();,1
GEN-FIRST:event_charsetCmboMouseClicked,1
GEN-FIRST:event_btnTableMouseExited,1
GEN-LAST:event_menuNewConnectionActionPerformed,1
component,1
SUConnectionBean,1
GEN-LAST:event_connectionTreeTreeCollapsed,1
\editable"\);\,1
GEN-LAST:event_btnViewMouseEntered,1
null);,1
GEN-LAST:event_btnQueryActionPerformed,1
GEN-FIRST:event_btnAddActionPerformed,1
\"\\,1
leadIndex,1
columnIndex);,1
GEN-LAST:event_jMenuItem3ActionPerformed,1
GEN-FIRST:event_btnSubmitActionPerformed,1
tbl.getSelectionModel().addListSelectionListener(new,1
\editing="\\,1
rsmd.getPrecision(i);,1
GEN-FIRST:event_btnEventMouseExited,1
0);,1
GEN-FIRST:event_menuNewQueryActionPerformed,1
\LogUtil.log("\columns="\+columns);\,1
\LogUtil.log("\min\,1
columnType,1
pkColumns,1
GEN-FIRST:event_connectionTreeTreeCollapsed,1
GEN-FIRST:event_connectionTreeTreeExpanded,1
Options,1
GEN-FIRST:event_btnNewConnectionMouseEntered,1
GEN-LAST:event_btnModelMouseExited,1
GEN-LAST:event_btnViewMouseExited,1
\LogUtil.log("\tblQueryResultFocusGained="\\,1
GEN-LAST:event_formHierarchyChanged,1
(rs.next()),1
frame.setLocation(dim.width,1
\2,\,1
GEN-LAST:event_cmbDatabaseItemStateChanged,1
c.getMetaData();,1
this.rows.addAll(rows);,1
GEN-FIRST:event_btnViewMouseExited,1
GEN-FIRST:event_btnQueryBuilderMouseExited,1
GEN-LAST:event_jPanel1formMouseClicked,1
GEN-LAST:event_btnUsersMouseExited,1
GEN-LAST:event_txtPortKeyTyped,1
any,1
lsm.getAnchorSelectionIndex();,1
cell,1
GEN-LAST:event_btnFunctionsMouseExited,1
preview,1
1;,1
\"\).append(precision).append("\\,1
frame.getSize().height,1
frame.getSize().width,1
GEN-LAST:event_tblFieldPaneHierarchyChanged,1
Allow,1
GEN-LAST:event_btnModelMouseEntered,1
Fields,1
GEN-LAST:event_btnBeautfySQLMouseEntered,1
GEN-FIRST:event_formHierarchyChanged,1
rsmd,1
GEN-FIRST:event_btnSaveMouseExited,1
GEN-LAST:event_btnNewConnectionActionPerformed,1
\key="\\,1
GEN-FIRST:event_cbDatabasesActionPerformed,1
GEN-LAST:event_submitCreateDB1ActionPerformed,1
GEN-LAST:event_jComboBox3ActionPerformed,1
GEN-FIRST:event_cbConnectionsItemStateChanged,1
GEN-LAST:event_btnReportMouseEntered,1
don't,1
@SneakyThrows,1
\"\anActionMapKey"\;\,1
GEN-LAST:event_formKeyPressed,1
GEN-FIRST:event_btnNewQueryMouseExited,1
GEN-FIRST:event_btnBackupMouseExited,1
GEN-LAST:event_btnRunMouseEntered,1
WIthOut,1
GEN-LAST:event_tblQueryResultPropertyChange,1
(int,1
primaryKey;,1
GEN-LAST:event_tblQueryResultKeyTyped,1
superclass,1
(connection.getDatabases(),1
GEN-LAST:event_btnBackupMouseEntered,1
GEN-LAST:event_btnTextMouseEntered,1
GEN-FIRST:event_btnExportResultMouseExited,1
GEN-FIRST:event_btnBackupActionPerformed,1
\sb.append("\,\,1
DatabaseMetaData,1
(table,1
GEN-LAST:event_cbDatabasesActionPerformed,1
getTableModel().fireTableDataChanged();,1
dim.height,1
GEN-LAST:event_submitCreateDBActionPerformed,1
\index="\+minIndex);\,1
GEN-FIRST:event_btnTextMouseExited,1
spaces,1
getTable(columns);,1
GEN-FIRST:event_jPanel1formHierarchyChanged,1
(ListSelectionModel),1
\value="\\,1
ResultSetMetaData,1
GEN-LAST:event_formMouseClicked,1
GEN-LAST:event_btnBeautfySQLMouseExited,1
GEN-FIRST:event_btnTableActionPerformed,1
\LogUtil.log("\primary\,1
\LogUtil.log("\lead\,1
rows,1
\table.getTableModel().fireTableCellUpdated(rowIndex,\,1
deyil,1
GEN-FIRST:event_formMouseClicked,1
AutoIncrement,1
lsm.getMaxSelectionIndex();,1
PanelQueryResult,1
GEN-LAST:event_txtPortKeyReleased,1
GEN-LAST:event_btnTableMouseEntered,1
