File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\Config.java,49,39,31,4,10,0,0,0,0,0
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\Main.java,962,805,600,10,127,91,30,253,0,0
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\bean\AutoComplete.java,30,15,11,0,6,0,9,37,5,31
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\bean\Charset.java,39,21,14,1,9,0,9,37,5,31
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\bean\Collation.java,29,13,8,1,7,0,9,37,5,31
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\bean\CustomList.java,17,4,3,0,4,0,9,37,5,31
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\bean\EmptyFI.java,18,5,4,0,4,0,9,37,5,31
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\bean\SUArrayList.java,44,28,19,9,7,0,9,37,5,31
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\bean\server\SUAbstractServerBean.java,15,3,2,0,3,0,9,37,5,31
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\bean\server\SUConnectionBean.java,65,47,38,2,9,0,9,37,5,31
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\bean\server\SUDatabaseBean.java,35,16,11,1,10,0,9,37,5,31
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\bean\server\SUQueryBean.java,43,24,19,0,10,0,9,37,5,31
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\bean\server\SUQueryResult.java,31,16,13,0,6,0,9,37,5,31
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\bean\server\SUTableBean.java,56,39,28,10,8,0,9,37,5,31
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\bean\table\DataType.java,38,21,15,1,8,0,9,37,5,31
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\bean\table\ForeignKey.java,37,22,19,0,6,0,9,37,5,31
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\bean\table\Table.java,38,20,16,0,9,0,9,37,0,0
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\bean\table\TableField.java,40,23,19,0,8,0,9,37,5,31
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\bean\table\TableIndex.java,26,12,10,0,5,0,9,37,5,31
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\bean\ui\button\SUAbstractButton.java,25,11,9,0,5,0,9,37,5,31
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\bean\ui\button\SUObjectActionButton.java,30,15,13,0,6,0,9,37,5,31
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\bean\ui\button\SUObjectButton.java,35,20,16,0,6,0,9,37,5,31
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\bean\ui\button\SUSimpleButton.java,19,6,4,0,4,0,9,37,5,31
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\bean\ui\frame\ConnectionFrame.java,494,412,356,13,60,11,22,111,0,0
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\bean\ui\frame\CreateDatabase.java,358,281,169,7,44,18,33,170,5,31
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\bean\ui\frame\DataTransferFrame.java,80,41,36,0,18,2,21,102,5,31
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\bean\ui\frame\SetQueryLocation.java,342,276,173,8,36,11,30,160,5,31
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\bean\ui\panel\PanelDataTransferGeneral.java,671,570,291,9,86,15,15,95,0,0
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\bean\ui\panel\PanelDataTransferOptions.java,46,19,9,0,7,1,20,94,5,31
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\bean\ui\panel\PanelNewTable.java,731,615,453,38,89,35,27,177,5,31
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\bean\ui\panel\PanelObjectMain.java,113,83,52,4,18,1,12,52,5,31
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\bean\ui\panel\PanelUiElementInformation.java,230,183,102,2,27,9,20,102,5,31
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\bean\ui\panel\queryresult\PanelQueryEditor.java,787,671,477,32,98,55,18,132,5,31
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\bean\ui\panel\queryresult\PanelQueryResult.java,281,197,139,3,38,17,46,185,5,31
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\bean\ui\popup\UiPopupAbstract.java,44,27,22,2,8,0,9,37,5,31
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\bean\ui\popup\UiPopupConnection.java,83,56,48,1,18,0,9,37,5,31
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\bean\ui\popup\UiPopupDatabase.java,99,74,64,1,14,0,11,43,5,31
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\bean\ui\popup\UiPopupQuery.java,154,123,89,2,21,0,10,41,5,31
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\bean\ui\popup\UiPopupQueryBundle.java,82,62,41,0,11,0,9,37,5,31
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\bean\ui\popup\UiPopupTable.java,169,131,94,2,28,0,10,40,5,31
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\bean\ui\table\SUTable.java,268,210,164,24,44,0,14,51,5,31
