Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,75,9987,7624,5412,515,1512,267,851,3763,275,1705
C:\WorkSpace\gitHub\speedup\src,75,9987,7624,5412,515,1512,267,851,3763,275,1705
C:\WorkSpace\gitHub\speedup\src\main,75,9987,7624,5412,515,1512,267,851,3763,275,1705
C:\WorkSpace\gitHub\speedup\src\main\java,75,9987,7624,5412,515,1512,267,851,3763,275,1705
C:\WorkSpace\gitHub\speedup\src\main\java\com,75,9987,7624,5412,515,1512,267,851,3763,275,1705
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs,75,9987,7624,5412,515,1512,267,851,3763,275,1705
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main,75,9987,7624,5412,515,1512,267,851,3763,275,1705
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\bean,64,7909,6004,4205,392,1203,175,702,3073,245,1519
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\bean\server,6,245,145,111,13,46,0,54,222,30,186
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\bean\table,5,179,98,79,1,36,0,45,185,20,124
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\bean\ui,47,7308,5675,3956,367,1084,175,549,2444,165,1023
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\bean\ui\button,4,109,52,42,0,21,0,36,148,20,124
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\bean\ui\frame,4,1274,1010,734,28,158,42,106,543,15,93
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\bean\ui\panel,7,2859,2338,1523,88,363,133,158,837,30,186
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\bean\ui\panel\queryresult,2,1068,868,616,35,136,72,64,317,10,62
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\bean\ui\popup,6,631,473,358,8,100,0,58,235,30,186
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\bean\ui\table,9,963,684,507,99,159,0,120,424,40,248
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\bean\ui\tree,17,1472,1118,792,144,283,0,71,257,30,186
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\bean\ui\tree\server,14,1226,943,661,117,224,0,59,212,25,155
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\bean\ui\tree\server\bundle,10,884,702,490,84,159,0,23,64,5,31
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\dao,3,789,593,445,85,133,0,63,181,0,0
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\dao\impl,1,560,444,319,69,87,0,29,88,0,0
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\dao\inter,2,229,149,126,16,46,0,34,93,0,0
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\popup,1,36,21,18,1,6,0,9,37,5,31
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\popup\ClipBoard,1,36,21,18,1,6,0,9,37,5,31
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\util,5,242,162,113,23,33,1,47,219,25,155
